"Fecha","Desempleo","Inflación","Hombres","Mujeres","Educación","","","2022-March","7.70","0.49","6.50","9.20","","","","",""
"2019-December","8.50","02.09","7.24","10.31","Universidad","","","2022-February","7.30","1.11","5.80","9.00","","","","",""
"2019-November","10.90","-0.03","6.93","10.85","Universidad","","","2022-January","7.40","1.47","6.40","8.50","","","","",""
"2019-October","8.80","0.42","7.75","11.10","Secundaria","","","2021-December","7.00","1.78","5.80","8.50","","","","",""
"2019-September","9.47","0.75","6.83","11.43","Secundaria","","","2021-November","7.40","-0.10","6.20","8.70","","","","",""
"2019-August","09.06","0.52","7.84","10.60","Primaria","","","2021-October","8.00","0.25","6.90","9.20","","","","",""
"2019-July","9.13","0.88","8.20","11.12","Secundaria","","","2021-September","9.40","01.04","8.40","10.50","","","","",""
"2019-June","9.77","0.76","7.41","11.15","Universidad","","","2021-August","9.50","0.46","8.90","10.10","","","","",""
"2019-May","8.73","0.64","8.64","10.08","Secundaria","","","2021-July","10.40","0.85","8.90","12.10","","","","",""
"2019-April","7.96","0.40","7.57","10.53","Primaria","","","2021-June","9.40","0.52","7.90","11.10","","","","",""
"2019-March","9.50","0.43","5.80","11.50","Universidad","","","2021-May","10.20","0.67","9.00","11.60","","","","",""
"2019-February","8.40","0.55","7.70","10.39","Secundaria","","","2021-April","9.70","0.46","8.10","11.50","","","","",""
"2019-January","8.41","0.98","6.73","9.93","Secundaria","","","2021-March","9.70","0.50","7.90","11.70","","","","",""
"2018-December","8.42","2.17","6.99","10.09","Universidad","","","2021-February","11.10","0.62","8.90","13.50","","","","",""
"2018-November","7.41","-0.38","6.74","8.20","Universidad","","","2021-January","10.70","0.82","9.00","12.60","","","","",""
"2018-October","8.62","0.36","7.21","10.26","Secundaria","","","2020-December","10.50","1.60","8.70","12.60","","","","",""
"Septiembre","8.65","0.23","6.64","10.99","Secundaria","","","2020-November","10.90","-0.19","8.10","14.10","","","","",""
"2018-August","09.04","0.50","7.78","10.52","Secundaria","","","2020-October","11.20","0.28","8.60","14.20","","","","",""
"2018-July","7.77","0.67","5.52","10.40","Secundaria","","","2020-September","11.00","0.58","9.30","13.00","","","","",""
"2018-June","7.93","0.60","7.14","8.86","Primaria","","","2020-August","10.80","0.64","","13.60","","","","",""
"2018-May","8.12","0.99","6.50","10.03","Secundaria","","","2020-July","10.60","0.57","8.40","13.70","","","","",""
"2018-April","8.19","0.81","6.71","9.97","Secundaria","","","2020-June","10.70","0.55","8.00","12.80","","","","",""
"2018-March","8.78","0.07","7.27","10.57","Secundaria","","","2020-May","9.70","0.02","8.90","10.80","","","","",""
"2018-February","9.31","0.28","7.19","11.82","Primaria","","","2020-April","9.70","0.57","8.80","10.70","","","","",""
"2018-January","8.48","0.88","7.71","9.38","Universidad","","","2020-March","10.10","2.00","8.90","10.50","","","","",""
"2017-December","6.92","2.71","5.78","8.28","Secundaria","","","2020-February","10.50","1.33","9.80","12.36","","","","",""
"2017-November","7.76","-0.31","6.52","9.20","Primaria","","","2020-January","8.50","0.61","8.83","9.94","","","","",""
"2017-October","7.71","0.34","6.59","09.04","Secundaria","","","","","","","","","","","",""
"2017-September","7.58","0.46","6.10","9.33","Secundaria","","","","","","","","","","","",""
"2017-August","7.82","0.54","6.62","9.25","Secundaria","","","","","","","","","","","",""
"2017-July","7.58","0.77","6.46","8.91","Primaria","","","","","","","","","","","",""
"2017-June","7.84","0.32","6.84","09.02","Secundaria","","","","","","","","","","","",""
"2017-May","7.95","0.15","6.78","9.35","Secundaria","","","","","","","","","","","",""
"2017-April","8.46","0.13","6.96","10.19","Secundaria","","","","","","","","","","","",""
"2017-March","09.02","0.22","6.91","11.51","Secundaria","","","","","","","","","","","",""
"2017-February","8.21","0.68","6.78","9.94","Universidad","","","","","","","","","","","",""
"2017-January","8.12","0.50","6.78","9.74","Universidad","","","","","","","","","","","",""
"2016-December","7.74","2.60","6.54","9.21","Secundaria","","","","","","","","","","","",""
"2016-November","7.74","-0.55","6.59","09.09","Secundaria","","","","","","","","","","","",""
"2016-September","7.10","0.10","5.54","8.84","Universidad","","","","","","","","","","","",""
"2016-August","8.39","0.18","6.87","10.18","Primaria","","","","","","","","","","","",""
"2016-July","7.72","0.25","6.49","9.19","Secundaria","","","","","","","","","","","",""
"2016-June","8.60","0.57","7.40","10.00","Secundaria","","","","","","","","","","","",""
"2016-May","7.51","0.39","5.98","9.30","Secundaria","","","","","","","","","","","",""
"2016-April","7.85","0.40","06.06","10.04","Secundaria","","","","","","","","","","","",""
"2016-March","08.06","0.97","6.57","9.81","Secundaria","","","","","","","","","","","",""
"2016-February","8.00","0.46","6.68","9.55","Primaria","","","","","","","","","","","",""
