Fecha,Desempleo,InflaciÃÂ³n,Hombres,Mujeres,EducaciÃÂ³n
00/12/2019,8.5,02.09,7.24,10.31,Primaria
00/11/2019,10.9,-0.03,6.93,10.85,Primaria
00/10/2019,8.8,0.42,7.75,11.1,Secundaria
00/09/2019,9.47,0.75,6.83,11.43,Primaria
00/08/2019,09.06,0.52,7.84,10.6,Primaria
00/07/2019,9.13,0.88,8.2,11.12,Primaria
00/06/2019,9.77,0.76,7.41,11.15,Primaria
00/05/2019,8.73,0.64,8.64,10.08,Primaria
00/04/2019,7.96,0.4,7.57,10.53,Secundaria
00/03/2019,9.5,0.43,5.8,11.5,Primaria
00/02/2019,8.4,0.55,7.7,10.39,Primaria
00/01/2019,8.41,0.98,6.73,9.93,Primaria
00/12/2018,8.42,2.17,6.99,10.09,Primaria
00/11/2018,7.41,-0.38,6.74,8.2,Secundaria
00/10/2018,8.62,0.36,7.21,10.26,Primaria
00/09/2018,8.65,0.23,6.64,10.99,Primaria
00/08/2018,09.04,0.5,7.78,10.52,Primaria
00/07/2018,7.77,0.67,5.52,10.4,Secundaria
00/06/2018,7.93,0.6,7.14,8.86,Secundaria
00/05/2018,8.12,0.99,6.5,10.03,Primaria
00/04/2018,8.19,0.81,6.71,9.97,Primaria
00/03/2018,8.78,0.07,7.27,10.57,Primaria
00/02/2018,9.31,0.28,7.19,11.82,Primaria
00/01/2018,8.48,0.88,7.71,9.38,Primaria
00/12/2017,6.92,2.71,5.78,8.28,Universidad
00/11/2017,7.76,-0.31,6.52,9.2,Primaria
00/10/2017,7.71,0.34,6.59,09.04,Secundaria
00/09/2017,7.58,0.46,6.1,9.33,Secundaria
00/08/2017,7.82,0.54,6.62,9.25,Primaria
00/07/2017,7.58,0.77,6.46,8.91,Secundaria
00/06/2017,7.84,0.32,6.84,09.02,Primaria
00/05/2017,7.95,0.15,6.78,9.35,Primaria
00/04/2017,8.46,0.13,6.96,10.19,Primaria
00/03/2017,09.02,0.22,6.91,11.51,Primaria
00/02/2017,8.21,0.68,6.78,9.94,Primaria
00/01/2017,8.12,0.5,6.78,9.74,Primaria
00/12/2016,7.74,2.6,6.54,9.21,Secundaria
00/11/2016,7.74,-0.55,6.59,09.09,Secundaria
00/10/2016,7.1,0.1,5.54,8.84,Secundaria
00/09/2016,8.39,0.18,6.87,10.18,Primaria
00/08/2016,7.72,0.25,6.49,9.19,Secundaria
00/07/2016,8.6,0.57,7.4,10,Primaria
00/06/2016,7.51,0.39,5.98,9.3,Secundaria
00/05/2016,7.85,0.4,06.06,10.04,Secundaria
00/04/2016,08.06,0.97,6.57,9.81,Primaria
00/03/2016,8,0.46,6.68,9.55,Primaria
00/02/2016,8,01.04,6.7,9.7,Primaria
00/01/2016,7.74,1.6,6.8,8.87,Secundaria
00/12/2015,8.9,2.45,6.5,8.5,Primaria
00/11/2015,7.9,-0.55,6.5,9.6,Secundaria
00/10/2015,8.5,0.43,8.2,9,Secundaria
00/09/2015,7.6,0.6,6.63,9.76,Universidad
00/08/2015,7,0.69,6.3,9.2,Universidad
00/07/2015,7.4,1.18,6,8.2,Secundaria
00/06/2015,7.4,1.21,6.2,8.8,Secundaria
00/05/2015,8.12,0.45,6.3,8.7,Primaria
00/04/2015,7.26,0.49,6.68,9.86,Secundaria
00/03/2015,7.11,0.57,5.87,8.89,Primaria
00/02/2015,6.59,0.7,6.32,08.06,Universidad
00/01/2015,6.47,1.1,5.67,7.7,Secundaria
00/12/2014,07.01,2.22,4.52,8.83,Secundaria
00/11/2014,6.65,-0.53,5.86,8.39,Secundaria
00/10/2014,6.18,0.15,5.2,8.41,Secundaria
00/09/2014,6.75,0.59,4.65,7.99,Secundaria
00/08/2014,5.67,1,05.01,8.88,Universidad
00/07/2014,6.85,0.75,4.76,6.79,Secundaria
00/06/2014,6.79,0.75,5.62,8.34,Secundaria
00/05/2014,6.8,0.35,5.33,8.52,Secundaria
00/04/2014,6.33,0.32,4.92,09.04,Secundaria
00/03/2014,07.03,-0.06,4.68,8.32,Primaria
00/02/2014,6.72,0.58,5.26,9.12,Secundaria
00/01/2014,06.02,1.66,5.18,8.53,Universidad
00/12/2013,6.42,2.44,4.77,7.51,Secundaria
00/11/2013,6.37,-0.72,05.01,8.13,Secundaria
00/10/2013,06.03,0.2,4.52,8.57,Universidad
00/09/2013,6,0.82,4.68,7.69,Universidad
00/08/2013,6.88,1.36,05.01,7.21,Primaria
00/07/2013,6.47,01.04,5.29,8.85,Secundaria
00/06/2013,6.51,0.77,5.5,7.64,Secundaria
00/05/2013,6.84,0.43,5.11,8.23,Secundaria
00/04/2013,6.94,0.32,05.09,8.94,Secundaria
00/03/2013,6.48,0.45,4.96,9.32,Universidad
00/02/2013,07.07,0.66,5,8.32,Secundaria
00/01/2003,5.6,0.99,5.88,8.51,Universidad
00/12/2012,6.4,1.9,4,7.4,Secundaria
00/11/2012,5.8,-0.73,4.6,8.5,Universidad
00/10/2012,7.1,0.35,4.9,7,Secundaria
00/09/2012,5.7,1.15,5.4,9.2,Universidad
00/08/2012,6.9,1.21,4.66,6.98,Secundaria
00/07/2012,7,0.93,05.07,8.92,Secundaria
00/06/2012,7.2,0.33,6.15,8.37,Secundaria
00/05/2012,6.3,0.34,5.15,8.33,Universidad
00/04/2012,5.6,1.42,4.85,8.82,Universidad
00/03/2012,6.3,0.94,4.86,09.03,Universidad
00/02/2012,6.1,1.25,3.78,08.05,Universidad
00/01/2012,7.5,1.29,3.8,801,Secundaria
