Hombres,Mujeres
7.24,10.31
6.93,10.85
7.75,11.10
6.83,11.43
7.84,10.60
8.20,11.12
7.41,11.15
8.64,10.08
7.57,10.53
5.80,11.50
7.70,10.39
6.73,9.93
6.99,10.09
6.74,8.20
7.21,10.26
6.64,10.99
7.78,10.52
5.52,10.40
7.14,8.86
6.50,10.03
6.71,9.97
7.27,10.57
7.19,11.82
7.71,9.38
5.78,8.28
6.52,9.20
6.59,09.04
6.10,9.33
6.62,9.25
6.46,8.91
6.84,09.02
6.78,9.35
6.96,10.19
6.91,11.51
6.78,9.94
6.78,9.74
6.54,9.21
6.59,09.09
5.54,8.84
6.87,10.18
6.49,9.19
7.40,10.00
5.98,9.30
06.06,10.04
6.57,9.81
6.68,9.55
6.70,9.70
6.80,8.87
6.50,8.50
6.50,9.60
8.20,9.00
6.63,9.76
6.30,9.20
6.00,8.20
6.20,8.80
6.30,8.70
6.68,9.86
5.87,8.89
6.32,08.06
5.67,7.70
4.52,8.83
5.86,8.39
5.20,8.41
4.65,7.99
05.01,8.88
4.76,6.79
5.62,8.34
5.33,8.52
4.92,09.04
4.68,8.32
5.26,9.12
5.18,8.53
4.77,7.51
05.01,8.13
4.52,8.57
4.68,7.69
05.01,7.21
5.29,8.85
5.50,7.64
5.11,8.23
05.09,8.94
4.96,9.32
5.00,8.32
5.88,8.51
4.00,7.40
4.60,8.50
4.90,7.00
5.40,9.20
4.66,6.98
05.07,8.92
6.15,8.37
5.15,8.33
4.85,8.82
4.86,09.03
3.78,08.05
